index,db_type,db_conn,db_name,tb_name,hive_db_ods,hive_tb_ods,ext_condition,hive_db_dwd,hive_tb_dwd,patition_col_dwd,patition_col_src,weight,sync_type,status=1处理,,,,,,,,,,,,,,,,,,,,
106.0,mysql,bsscontrol_ro,bsscontrol,control_valve,sahm_ods,ods_ksa__bsscontrol_risk_margin_call_df,,sahm_dwd,dwd_sas_agt_control_valve_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
107.0,mysql,hs_risk_control_ro,hs_risk_control,risk_margin_call,sahm_ods,ods_ksa_control_risk_margin_call_df,,sahm_dwd,dwd_sas_agt_risk_margin_call_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
108.0,mysql,hs_risk_control_ro,hs_risk_control,risk_info,sahm_ods,ods_ksa_control_risk_info_df,,sahm_dwd,dwd_sas_agt_risk_info_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
109.0,mysql,hs_us_otc_ro,hs_us_otc,hq_day_data,sahm_ods,ods_ksa_us_otc_hq_day_data_di,"date_format(kline_date,'%Y-%m-%d')='{{ ds }}'",sahm_dwd,dwd_sas_var_us_otc_hq_day_data_di,ds,"from_unixtime(to_unix_timestamp(kline_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无此表,无此表,,,,,,,,,,,,,,,,,,
110.0,mysql,hs_us_option_hq_ro,hs_us_option_hq,security_definition,sahm_ods,ods_ksa_us_option_security_definition_df,,sahm_dwd,dwd_sas_var_option_security_definition_df,,,10,1,1,注释乱码,注释乱码,,,,,,,,,,,,,,,,,,
125.0,mysql,hs_us_hq_ro,hs_us_hq,us_security_definition,sahm_ods,ods_ksa_us_hq_security_definition_df,,sahm_dwd,dwd_sas_var_us_security_definition_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
130.0,mysql,hs_member_ro,hs_member,member,sahm_ods,ods_ksa_member_member_df,,sahm_dwd,dwd_sas_pty_member_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
131.0,mysql,hs_cif_ro,hs_cif,customer_fund_account,sahm_ods,ods_ksa_cif_customer_fund_account_df,,sahm_dwd,dwd_sas_acc_customer_fund_account_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
132.0,mysql,hs_channel_ro,hs_channel,market_channel_org,sahm_ods,ods_ksa_channel_market_channel_org_df,,sahm_dwd,dwd_sas_chn_market_channel_org_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
133.0,mysql,hs_hq_permission_ro,hs_hq_permission,quote_statement_data,sahm_ods,ods_ksa_permission_quote_statement_data_df,,sahm_dwd,dwd_sas_agt_quote_statement_data_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
134.0,mysql,hs_cif_ro,hs_cif,customer_base_info,sahm_ods,ods_ksa_cif_customer_base_info_df,,sahm_dwd,dwd_sas_pty_customer_base_info_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
135.0,mysql,hs_cif_ro,hs_cif,customer_address_info,sahm_ods,ods_ksa_cif_customer_address_info_df,,sahm_dwd,dwd_sas_pty_customer_address_info_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
136.0,mysql,orionbroker_ro,orionbroker,adviser_account_owner,sahm_ods,ods_ksa_orionbroker_adviser_account_owner_df,,sahm_dwd,dwd_sas_pty_adviser_account_owner_di,ds,ds,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
137.0,mysql,orionbroker_ro,orionbroker,adviser_bonus,sahm_ods,ods_ksa_orionbroker_adviser_bonus_df,,sahm_dwd,dwd_sas_agt_adviser_bonus_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
138.0,mysql,hs_cif_ro,hs_cif,customer_identity_info,sahm_ods,ods_ksa_cif_customer_identity_info_df,,sahm_dwd,dwd_sas_pty_customer_identity_info_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
139.0,mysql,hs_crm_ro,hs_crm,accredited_investor,sahm_ods,ods_ksa_crm_accredited_investor_df,,sahm_dwd,dwd_sas_pty_accredited_investor_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
140.0,mysql,hs_userinfo_ro,hs_app_config,biz_access_control,sahm_ods,ods_ksa_userinfo_biz_access_control_df,,sahm_dwd,dwd_sas_agt_biz_access_control_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
141.0,mysql,hs_channel_ro,hs_channel,market_channel,sahm_ods,ods_ksa_channel_market_channel_df,,sahm_dwd,dwd_sas_pub_market_channel_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
142.0,mysql,orionbroker_ro,orionbroker,asset_account_adviser_bonus,sahm_ods,ods_ksa_orionbroker_asset_account_adviser_bonus_df,,sahm_dwd,dwd_sas_agt_asset_account_adviser_bonus_df,,,5,1,1,无,部分无,,,,,,,,,,,,,,,,,,
143.0,mysql,orionbroker_ro,orionbroker,adviser_account_owner_log,sahm_ods,ods_ksa_orionbroker_adviser_account_owner_log_di,"date_format(update_time,'%Y-%m-%d')='{{ ds }}'",sahm_dwd,dwd_sas_pty_adviser_account_owner_log_di,ds,"date_format(update_time,'yyyy-MM-dd')",5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
144.0,mysql,orionbroker_ro,orionbroker,bonus_entrust_way,sahm_ods,ods_ksa_orionbroker_bonus_entrust_way_df,,sahm_dwd,dwd_sas_pub_bonus_entrust_way_df,,,1,1,1,无,无,无,无,,,,,,,,,,,,,,,,
145.0,mysql,orionbroker_ro,orionbroker,bonus_period_detail,sahm_ods,ods_ksa_broker_us_branch_detail_holding_log_di,,sahm_dwd,dwd_sas_pub_bonus_period_detail_df,,,1,1,1,无,无,无,无,,,,,,,,,,,,,,,,
148.0,mysql,hs_kh_ro,hs_kh,account_apply,sahm_ods,ods_ksa_kh_account_apply_df,,sahm_dwd,dwd_sas_agt_account_apply_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
149.0,mysql,hs_userinfo_ro,hs_userinfo,member_oper_log,sahm_ods,ods_ksa_userinfo_member_oper_log_di,"date_format(created_date,'%Y-%m-%d')='{{ ds }}'",sahm_dwd,dwd_sas_trd_member_oper_log_di,ds,"date_format(created_date,'yyyy-MM-dd')",5,1,1,有,有,有,有,,,,,,,,,,,,,,,,
150.0,oracle,ksa_oms_ro,HSDC_OMS,US_TRADE_ORDER,sahm_ods,ods_ksa_oms_us_trade_order_di,TRADE_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_us_trade_order_di,ds,"from_unixtime(unix_timestamp(trade_date,'yyyyMMdd'),'yyyy-MM-dd')",5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
151.0,oracle,ksa_broker_ro,HSDC,BASE_MONEY_ACCOUNT,sahm_ods,ods_ksa_borker_base_money_account_df,,sahm_dwd,dwd_sas_acc_base_money_account_di,ds,ds,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
152.0,oracle,ksa_broker_ro,HSDC,ACCOUNT_OWNER_COMMUNICATION,sahm_ods,ods_ksa_broker_account_owner_communication_df,,sahm_dwd,dwd_sas_pty_account_owner_communication_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
153.0,oracle,ksa_broker_ro,HSDC,ASSET_ACCOUNT_TRANSFER_LOG,sahm_ods,ods_ksa_broker_asset_account_transfer_log_df,,sahm_dwd,dwd_sas_ast_asset_account_transfer_log_df,,,5,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
154.0,oracle,ksa_broker_ro,HSDC,BRANCH_DETAIL_HOLDING_LOG,sahm_ods,ods_ksa_broker_branch_detail_holding_log_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_branch_detail_holding_log_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
155.0,oracle,ksa_broker_ro,HSDC,MONEY_CHARGE,sahm_ods,ods_ksa_broker_money_charge_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_agt_money_charge_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",5,1,1,有,有,,,,,,,,,,,,,,,,,,
156.0,mysql,hs_hq_general_ro,hq_general,security_definition,sahm_ods,ods_ksa_hq_general_security_definition_df,,sahm_dwd,dwd_sas_var_sa_security_definition_df,,,10,1,1,有,需status枚举,,,,,,,,,,,,,,,,,,
157.0,mysql,hs_hq_history_ro,hq_history,hq_day_data,sahm_ods,ods_ksa_hq_history_hq_day_data_di,"date_format(kline_date,'%Y-%m-%d')='{{ ds_nodash }}'",sahm_dwd,dwd_sas_var_sa_hq_day_data_di,ds,"from_unixtime(to_unix_timestamp(kline_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,需status枚举,,,,,,,,,,,,,,,,,,
158.0,mysql,hs_crm_ext_ro,hs_crm_ext,member_stock_withdraw,sahm_ods,ods_ksa_crm_member_stock_withdraw_df,,sahm_dwd,dwd_sas_agt_member_stock_withdraw_df,,,10,1,1,有,需status枚举,,,,,,,,,,,,,,,,,,
159.0,mysql,hs_crm_ext_ro,hs_crm_ext,member_stock_withdraw_item,sahm_ods,ods_ksa_crm_member_stock_withdraw_item_df,,sahm_dwd,dwd_sas_agt_member_stock_withdraw_item_df,,,10,1,1,有,需status枚举,,,,,,,,,,,,,,,,,,
160.0,mysql,hs_report_ro,hs_report,report_include_biz_code,sahm_ods,ods_ksa_report_include_biz_code_df,,sahm_dwd,dwd_sas_pub_report_include_biz_code_df,,,5,1,1,有,"需补充以下字段枚举
bfo_status
end_status
fromSource_type",,,,,,,,,,,,,,,,,,
161.0,oracle,ksa_js_ro,HSDC_JS,SETTLEMENT_DETAIL_RECORD,sahm_ods,ods_ksa_settle_settlement_detail_record_di,"to_char(CREATE_TIME_UTC,'YYYY-MM-DD')='{{ ds }}'",sahm_dwd,dwd_sas_trd_settlement_detail_record_di,ds,"substr(CREATE_TIME_UTC,1,10)",10,1,1,有,"需补充以下字段枚举
entrust_way
rebate_cal_type
status",,,,,,,,,,,,,,,,,,
164.0,oracle,ksa_js_ro,HSDC_JS,ACCOUNT_OWNER_WHTRATE,sahm_ods,ods_ksa_bssjs_account_owner_whtrate_df,,sahm_dwd,dwd_sas_acc_account_owner_whtrate_df,,,10,1,1,有,"需补充以下字段枚举
benchmark_type
status",,,,,,,,,,,,,,,,,,
165.0,oracle,ksa_js_ro,HSDC_JS,SETTLEMENT_DETAIL_RECORD_PAT,sahm_ods,ods_ksa_settle_settlement_detail_record_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_settlement_detail_record_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,,,,,,,,,,,,,,,,,,,,
